id;card_code;card_name;created_by;created_at;updated_by;updated_at;deleted_by;deleted_at
1;14541;than despite emboss;another allowance maim;2024-08-12T11:13:24;yet;2024-08-12T03:24:46;as yippee lone;2024-08-12T03:34:29
2;18769;behind;unzip flexibility stencil;2024-08-12T03:52:17;buffalo;2024-08-11T14:38:49;along;2024-08-11T18:28:32
3;32728;flash accuracy;grassland;2024-08-11T23:32:41;continually;2024-08-11T18:39:47;once yowza;2024-08-11T20:53:41
4;28742;snarl green;biscuit politely yet;2024-08-11T22:25:05;finally;2024-08-11T21:32:26;lone soon queasy;2024-08-11T18:12:10
5;6140;because yet artichoke;administration fluid;2024-08-11T23:35:24;versus;2024-08-12T09:53:39;authentic frenetically faithfully;2024-08-12T05:08:04
6;27375;ack poetry;batting;2024-08-11T19:58:07;worth;2024-08-12T07:34:55;huge;2024-08-11T23:57:50
7;7873;oh;clergyman;2024-08-12T01:24:10;sunflower even sad;2024-08-12T12:37:31;deadly;2024-08-11T14:19:57
8;8894;hovel hungrily forge;generally;2024-08-11T21:53:52;unzip;2024-08-12T11:18:50;sweetly;2024-08-12T05:56:45
9;10268;aha opulent;recklessly regarding;2024-08-11T14:51:51;however impressive;2024-08-12T03:31:26;brightly abaft stale;2024-08-12T10:27:28
10;25983;provided;aboard cacao;2024-08-11T19:02:41;psst;2024-08-12T07:02:16;frankly;2024-08-12T12:04:14
